step	epoch
49	0
99	0
149	0
199	0
249	0
299	0
349	0
399	0
449	0
499	0
549	0
599	0
649	0
699	0
749	0
799	0
849	0
899	0
949	0
999	0
1049	0
1099	0
1149	0
1199	0
1249	0
1299	0
1349	0
1399	0
1449	0
1499	0
1549	0
1599	0
1649	0
1699	0
1727	0
1727	0
1749	1
1799	1
1849	1
1899	1
1949	1
1999	1
2049	1
2099	1
2149	1
2199	1
2249	1
2299	1
2349	1
2399	1
2449	1
2499	1
2549	1
2599	1
2649	1
2699	1
2749	1
2799	1
2849	1
2899	1
2949	1
2999	1
3049	1
3099	1
3149	1
3199	1
3249	1
3299	1
3349	1
3399	1
3449	1
3455	1
3455	1
3499	2
3549	2
3599	2
3649	2
3699	2
3749	2
3799	2
3849	2
3899	2
3949	2
3999	2
4049	2
4099	2
4149	2
4199	2
4249	2
4299	2
4349	2
4399	2
4449	2
4499	2
4549	2
4599	2
4649	2
4699	2
4749	2
4799	2
4849	2
4899	2
4949	2
4999	2
5049	2
5099	2
5149	2
5183	2
5183	2
5199	3
5249	3
5299	3
5349	3
5399	3
5449	3
5499	3
5549	3
5599	3
5649	3
5699	3
5749	3
5799	3
5849	3
5899	3
5949	3
5999	3
6049	3
6099	3
6149	3
6199	3
6249	3
6299	3
6349	3
6399	3
6449	3
6499	3
6549	3
6599	3
6649	3
6699	3
6749	3
6799	3
6849	3
6899	3
6911	3
6911	3
6949	4
6999	4
7049	4
7099	4
7149	4
7199	4
7249	4
7299	4
7349	4
7399	4
7449	4
7499	4
7549	4
7599	4
7649	4
7699	4
7749	4
7799	4
7849	4
7899	4
7949	4
7999	4
8049	4
8099	4
8149	4
8199	4
8249	4
8299	4
8349	4
8399	4
8449	4
8499	4
8549	4
8599	4
8639	4
8639	4
8649	5
8699	5
8749	5
8799	5
8849	5
8899	5
8949	5
8999	5
9049	5
9099	5
9149	5
9199	5
9249	5
9299	5
9349	5
9399	5
9449	5
9499	5
9549	5
9599	5
9649	5
9699	5
9749	5
9799	5
9849	5
9899	5
9949	5
9999	5
10049	5
10099	5
10149	5
10199	5
10249	5
10299	5
10349	5
10367	5
10367	5
10399	6
10449	6
10499	6
10549	6
10599	6
10649	6
10699	6
10749	6
10799	6
10849	6
10899	6
10949	6
10999	6
11049	6
11099	6
11149	6
11199	6
11249	6
11299	6
11349	6
11399	6
11449	6
11499	6
11549	6
11599	6
11649	6
11699	6
11749	6
11799	6
11849	6
11899	6
11949	6
11999	6
12049	6
12095	6
12095	6
12099	7
12149	7
12199	7
12249	7
12299	7
12349	7
12399	7
12449	7
12499	7
12549	7
12599	7
12649	7
12699	7
12749	7
12799	7
12849	7
12899	7
12949	7
12999	7
13049	7
13099	7
13149	7
13199	7
13249	7
13299	7
13349	7
13399	7
13449	7
13499	7
13549	7
13599	7
13649	7
13699	7
13749	7
13799	7
13823	7
13823	7
13849	8
13899	8
13949	8
13999	8
14049	8
14099	8
14149	8
14199	8
14249	8
14299	8
14349	8
14399	8
14449	8
14499	8
14549	8
14599	8
14649	8
14699	8
14749	8
14799	8
14849	8
14899	8
14949	8
14999	8
15049	8
15099	8
15149	8
15199	8
15249	8
15299	8
15349	8
15399	8
15449	8
15499	8
15549	8
15551	8
15551	8
15599	9
15649	9
15699	9
15749	9
15799	9
15849	9
15899	9
15949	9
15999	9
16049	9
16099	9
16149	9
16199	9
16249	9
16299	9
16349	9
16399	9
16449	9
16499	9
16549	9
16599	9
16649	9
16699	9
16749	9
16799	9
16849	9
16899	9
16949	9
16999	9
17049	9
17099	9
17149	9
17199	9
17249	9
17279	9
17279	9
17299	10
17349	10
17399	10
17449	10
17499	10
17549	10
17599	10
17649	10
17699	10
17749	10
17799	10
17849	10
17899	10
17949	10
17999	10
18049	10
18099	10
18149	10
18199	10
18249	10
18299	10
18349	10
18399	10
18449	10
18499	10
18549	10
18599	10
18649	10
18699	10
18749	10
18799	10
18849	10
18899	10
18949	10
18999	10
19007	10
19007	10
19049	11
19099	11
19149	11
19199	11
19249	11
19299	11
19349	11
19399	11
19449	11
19499	11
19549	11
19599	11
19649	11
19699	11
19749	11
19799	11
19849	11
19899	11
19949	11
19999	11
20049	11
20099	11
20149	11
20199	11
20249	11
20299	11
20349	11
20399	11
20449	11
20499	11
20549	11
20599	11
20649	11
20699	11
20735	11
20735	11
20749	12
20799	12
20849	12
20899	12
20949	12
20999	12
21049	12
21099	12
21149	12
21199	12
21249	12
21299	12
21349	12
21399	12
21449	12
21499	12
21549	12
21599	12
21649	12
21699	12
21749	12
21799	12
21849	12
21899	12
21949	12
21999	12
22049	12
22099	12
22149	12
22199	12
22249	12
22299	12
22349	12
22399	12
22449	12
22463	12
22463	12
22499	13
22549	13
22599	13
22649	13
22699	13
22749	13
22799	13
22849	13
22899	13
22949	13
22999	13
23049	13
23099	13
23149	13
23199	13
23249	13
23299	13
23349	13
23399	13
23449	13
23499	13
23549	13
23599	13
23649	13
23699	13
23749	13
23799	13
23849	13
23899	13
23949	13
23999	13
24049	13
24099	13
24149	13
24191	13
24191	13
24199	14
24249	14
24299	14
24349	14
24399	14
24449	14
24499	14
24549	14
24599	14
24649	14
24699	14
24749	14
24799	14
24849	14
24899	14
24949	14
24999	14
